Segment_ID,Phrase,clip,ID,clean_text,clean_text2,y,y_pred,confusion
d1CDP6sMuLA8,These are basic human necessities that hundreds of millions of women are forced to go without.,8,d1CDP6sMuLA,these are basic human necessities that hundreds of millions of women are forced to go without,basic human necessity hundred million woman forced go without,-1,0,1
1075854, (stutter) The plot It was like it didn't have a plot,4,107585, stutter the plot it was like it didnt have a plot,stutter plot like didnt plot,-1,-1,0
2063761," This was the movie Fred Claus, starring Vince Vaughn",1,206376, this was the movie fred claus starring vince vaughn,movie fred claus starring vince vaughn,0,-1,1
LityRNuQihc5,It had repeated problems and spent more time in the shop than it did on the road.,5,LityRNuQihc,it had repeated problems and spent more time in the shop than it did on the road,repeated problem spent time shop road,0,0,0
XXvSLz8QmGk14,I'm always trying to take these ideas and condense them so you're not getting any fluff  and you're just getting what's going to turn a profit for you as quickly as possible in your business.,14,XXvSLz8QmGk,im always trying to take these ideas and condense them so youre not getting any fluff  and youre just getting whats going to turn a profit for you as quickly as possible in your business,im always trying take idea condense youre getting fluff youre getting whats going turn profit quickly possible business,1,1,0
VA6lVHlj5d02," Um, number three, that the actual result is that my brother's company actually increased jobs in Indiana",2,VA6lVHlj5d0, um number three that the actual result is that my brothers company actually increased jobs in indiana,um number three actual result brother company actually increased job indiana,1,1,0
2518268," (umm) All the (uhh) the writers (uhh) should be indicted (umm) and all the actors (uhh), you know, (stutter) tortured to some extent",8,251826, umm all the uhh the writers uhh should be indicted umm and all the actors uhh you know stutter tortured to some extent,umm uhh writer uhh indicted umm actor uhh know stutter tortured extent,-1,-1,0
Vlas-mPydcg3, And one of those products are these self-adhesive instant wheels.,3,Vlas-mPydcg, and one of those products are these selfadhesive instant wheels,one product selfadhesive instant wheel,1,1,0
j1m6ctAgjsM48," It's something that has really, really energized our company",48,j1m6ctAgjsM, its something that has really really energized our company,something really really energized company,1,1,0
922211," My name is Mary and today I'll be reviewing Evan Almighty, which is a movie that recently came out in movie theaters",1,92221, my name is mary and today ill be reviewing evan almighty which is a movie that recently came out in movie theaters,name mary today ill reviewing evan almighty movie recently came movie theater,1,0,1
3331214," (umm) If not, don't catch it at all",14,33312, umm if not dont catch it at all,umm dont catch,-1,-1,0
bVhWpCvpSs42,The family of poets that we have here in Colombia-- it's unbelievable,2,bVhWpCvpSs4,the family of poets that we have here in colombia its unbelievable,family poet colombia unbelievable,1,1,0
23802329," Kind of (umm) upsetting, not interesting at all",29,238023, kind of umm upsetting not interesting at all,kind umm upsetting interesting,-1,-1,0
faXGVcVcVsE4," So if there's ever a question that's asking you to do something, to the patient move the patient or anything like that, always think about safety first! You always want to assess the patient first",4,faXGVcVcVsE, so if theres ever a question thats asking you to do something to the patient move the patient or anything like that always think about safety first you always want to assess the patient first,there ever question thats asking something patient move patient anything like always think safety first always want ass patient first,0,0,0
IHp8hd1jm6k5, How in the world do you cut through? How does our student cut through? They cut through by being a great storyteller,5,IHp8hd1jm6k, how in the world do you cut through how does our student cut through they cut through by being a great storyteller,world cut student cut cut great storyteller,1,1,0
1087936," Gist of the movie is Mandy Moore and Jim, I don't know his real name, (umm) I'll just call him Jim for",6,108793, gist of the movie is mandy moore and jim i dont know his real name umm ill just call him jim for,gist movie mandy moore jim dont know real name umm ill call jim,0,-1,1
8995111, But the DVD itself you know if you're a fan of the movie is (uhh) you know pretty complete,11,89951, but the dvd itself you know if youre a fan of the movie is uhh you know pretty complete,dvd know youre fan movie uhh know pretty complete,1,-1,2
20841612," The DVD of course has deleted scenes and the director's commentary, always fun to see these things",12,208416, the dvd of course has deleted scenes and the directors commentary always fun to see these things,dvd course deleted scene director commentary always fun see thing,1,1,0
1126313, I'm not a big fan of Robin Williams at all,3,112631, im not a big fan of robin williams at all,im big fan robin williams,-1,-1,0
1018513," I waited a while for it to die down before I went and saw it because I figured (uhh) since this is the the (stutter) the third installment you know, usually it comes into third movies, which, (umm) I've already done reviews on some third installment movies and, and they kind of sometimes lack",3,101851, i waited a while for it to die down before i went and saw it because i figured uhh since this is the the stutter the third installment you know usually it comes into third movies which umm ive already done reviews on some third installment movies and and they kind of sometimes lack,waited die went saw figured uhh since stutter third installment know usually come third movie umm ive already done review third installment movie kind sometimes lack,0,-1,1
MoQmPA7Q07Q4," Yet at the same point I'm watching them struggle financially to fund their retirement plans, to just make ends meet",4,MoQmPA7Q07Q, yet at the same point im watching them struggle financially to fund their retirement plans to just make ends meet,yet point im watching struggle financially fund retirement plan make end meet,-1,0,1
Sb2xMPwNKPo18,Any investments or strategy's mentioned here may not be suitable for everyone.,18,Sb2xMPwNKPo,any investments or strategys mentioned here may not be suitable for everyone,investment strategy mentioned may suitable everyone,0,0,0
1024087, I don't think it would be worth taking the whole family to the movies to see it,7,102408, i dont think it would be worth taking the whole family to the movies to see it,dont think would worth taking whole family movie see,-1,-1,0
26639613," (umm) The idea, as far-fetched as it is in the movie, is probably the best part of the movie",13,266396, umm the idea as farfetched as it is in the movie is probably the best part of the movie,umm idea farfetched movie probably best part movie,1,-1,2
zqkawTdHN5s1,Not only because it offered them efficiencies but because it allowed them to communicate some relevance and usefulness to consumers.,1,zqkawTdHN5s,not only because it offered them efficiencies but because it allowed them to communicate some relevance and usefulness to consumers,offered efficiency allowed communicate relevance usefulness consumer,1,0,1
1211288, (umm) In fact I think that the movie was perhaps geared toward a more mature audience,8,121128, umm in fact i think that the movie was perhaps geared toward a more mature audience,umm fact think movie perhaps geared toward mature audience,0,-1,1
zi0a6r52ZlY6,"The workbook, powerpoint and tools used are all available online.",6,zi0a6r52ZlY,the workbook powerpoint and tools used are all available online,workbook powerpoint tool used available online,0,1,1
2mWPHvbKzL811,Make sure to claim ownership on all of your business’s listings and let your customers know to check them out.,11,2mWPHvbKzL8,make sure to claim ownership on all of your business’s listings and let your customers know to check them out,make sure claim ownership business ’ listing let customer know check,0,1,1
d38u9n5GOLM30,"Keep an eye out for the clock giveaways over the next few weeks, and for more fun stuff, you can check me out over here on my Twitter and my Facebook page.",30,d38u9n5GOLM,keep an eye out for the clock giveaways over the next few weeks and for more fun stuff you can check me out over here on my twitter and my facebook page,keep eye clock giveaway next week fun stuff check twitter facebook page,1,1,0
SZRxuS6fn9s2,"First of all, we're not ""you people,"" so I'd like to first address that.",2,SZRxuS6fn9s,first of all were not you people so id like to first address that,first people id like first address,-1,0,1
2723752, It was okay,2,272375, it was okay,okay,0,-1,1
DXQGngge7vU3,That's a great strategy for the attorney,3,DXQGngge7vU,thats a great strategy for the attorney,thats great strategy attorney,1,1,0
RwcTz-tOIeo1,They have been imprisoned for practising their faith--a fundamental right guaranteed under international and Iranian law.,1,RwcTz-tOIeo,they have been imprisoned for practising their faitha fundamental right guaranteed under international and iranian law,imprisoned practising faitha fundamental right guaranteed international iranian law,-1,0,1
7857711," If you get this for five bucks, I guess it would be okay to get",11,78577, if you get this for five bucks i guess it would be okay to get,get five buck guess would okay get,0,-1,1
jcQi90n008o22, We have some outstanding efforts from our kids,22,jcQi90n008o, we have some outstanding efforts from our kids,outstanding effort kid,1,1,0
NocexkPXja86,"And so I was very freaked out by what I saw and it hit me very hard, the realization that, ""You are these people."" What really hurt me, then, was finding out what I lost.",6,NocexkPXja8,and so i was very freaked out by what i saw and it hit me very hard the realization that you are these people what really hurt me then was finding out what i lost,freaked saw hit hard realization people really hurt finding lost,-1,-1,0
28256012, And (uhh) just like in the comic books (uhh) when he's good he's really good,12,282560, and uhh just like in the comic books uhh when hes good hes really good,uhh like comic book uhh he good he really good,0,-1,1
27159436, Let it die,36,271594, let it die,let die,-1,1,2
5fKPJPFqPho1,Some people number all the boxes,1,5fKPJPFqPho,some people number all the boxes,people number box,0,1,1
cjgq9d8Zn9g5,"In Punjab, the countrys most populous province, the Land Records Management and Information Systems Project has transformed rural land titling",5,cjgq9d8Zn9g,in punjab the countrys most populous province the land records management and information systems project has transformed rural land titling,punjab country populous province land record management information system project transformed rural land titling,1,1,0
bNQkb4K5DX08,"You can also find links to these resources in the description below, or do a simple Google search for “Mometrix ABIM.” Thanks for watching, and good luck on your ABIM Certification exam!",8,bNQkb4K5DX0,you can also find links to these resources in the description below or do a simple google search for “mometrix abim” thanks for watching and good luck on your abim certification exam,also find link resource description simple google search “ mometrix abim ” thanks watching good luck abim certification exam,1,1,0
371179," (umm) Special features, I mean, they have (uhh) commentary, stuff like that but, I mean, I wasn't even interested in watching them because, I mean, who would really want to watch commentary on something that they didn't like in the first place",9,37117, umm special features i mean they have uhh commentary stuff like that but i mean i wasnt even interested in watching them because i mean who would really want to watch commentary on something that they didnt like in the first place,umm special feature mean uhh commentary stuff like mean wasnt even interested watching mean would really want watch commentary something didnt like first place,-1,-1,0
KB5hSnV1emg9,"Of course, having a paid app or game doesn't mean that you also can't have IAPs.",9,KB5hSnV1emg,of course having a paid app or game doesnt mean that you also cant have iaps,course paid app game doesnt mean also cant iaps,0,0,0
y3r2kk8zvl011,They might require a kind of complex mathematical kind of analysis.,11,y3r2kk8zvl0,they might require a kind of complex mathematical kind of analysis,might require kind complex mathematical kind analysis,0,0,0
MnFRVJtHAeo1,"Moss is known for her marathon parties, but this was her first multi-day extravaganza",1,MnFRVJtHAeo,moss is known for her marathon parties but this was her first multiday extravaganza,moss known marathon party first multiday extravaganza,0,0,0
zj4PzGtFwJM2," Though on the flip side, I am very, very comfortable with books.",2,zj4PzGtFwJM, though on the flip side i am very very comfortable with books,though flip side comfortable book,1,1,0
26639617, It is just awful,17,266396, it is just awful,awful,-1,-1,0
26190225, No real humor that really got me rolling or anything like that,25,261902, no real humor that really got me rolling or anything like that,real humor really got rolling anything like,-1,-1,0
88oSn21TFcA9,There has to be some ability to pre-screen and it doesn't seem like there is.,9,88oSn21TFcA,there has to be some ability to prescreen and it doesnt seem like there is,ability prescreen doesnt seem like,0,0,0
TLPlduck5II1,"So when I argued with them and argued with my credit card company, they refused to reimburse me for the difference so I made a complaint with the Consumer Affairs.",1,TLPlduck5II,so when i argued with them and argued with my credit card company they refused to reimburse me for the difference so i made a complaint with the consumer affairs,argued argued credit card company refused reimburse difference made complaint consumer affair,-1,1,2
9PzZSheh10U28," Their slogan, their mantra is to be the world's most customer-centric company",28,9PzZSheh10U, their slogan their mantra is to be the worlds most customercentric company,slogan mantra world customercentric company,0,1,1
dyZdiWNflko4,Well it means that if you have a home and you need to sell it or just would like to sell it quickly.,4,dyZdiWNflko,well it means that if you have a home and you need to sell it or just would like to sell it quickly,well mean home need sell would like sell quickly,1,0,1
451865, The acting was terrible,5,45186, the acting was terrible,acting terrible,-1,-1,0
BdqoZ5qpz0E2,In 1987 I began reviewing cases as an expert witness and in 1989 I began building a solid foundation for a legal nurse consulting business.,2,BdqoZ5qpz0E,in  i began reviewing cases as an expert witness and in  i began building a solid foundation for a legal nurse consulting business,began reviewing case expert witness began building solid foundation legal nurse consulting business,1,1,0
3sUS8vXbRwg15,"But he said, “Forget all of that, that’s part of conversation."" Just stop right now.",15,3sUS8vXbRwg,but he said “forget all of that that’s part of conversation just stop right now,said “ forget ’ part conversation stop right,1,1,0
2411648, (umm) I really enjoy this movie and it's a very very nice film,8,241164, umm i really enjoy this movie and its a very very nice film,umm really enjoy movie nice film,1,-1,2
8740010, So don't write off the entire series just because this one movie is bad,10,87400, so dont write off the entire series just because this one movie is bad,dont write entire series one movie bad,-1,-1,0
7mb8Y2AhXIY6,I think the other trend I think is important people are trusting their friends and families more than ever to recommend things to them.,6,7mb8Y2AhXIY,i think the other trend i think is important people are trusting their friends and families more than ever to recommend things to them,think trend think important people trusting friend family ever recommend thing,1,1,0
IwQWibE8EOM6,"And I’m pleased to announce that next year, the United States will once again host the Global Entrepreneurship Summit — this time in the birthplace of modern innovation: Silicon Valley.",6,IwQWibE8EOM,and i’m pleased to announce that next year the united states will once again host the global entrepreneurship summit — this time in the birthplace of modern innovation silicon valley,’ pleased announce next year united state host global entrepreneurship summit — time birthplace modern innovation silicon valley,1,1,0
799353, (uhh) (uhh) shots about drugs or scenes with drugs in it and the language in it was horrible,3,79935, uhh uhh shots about drugs or scenes with drugs in it and the language in it was horrible,uhh uhh shot drug scene drug language horrible,-1,-1,0
9cxlcpbmrH016,"It’s more about acknowledging that something could happen, but if it doesn’t, the individual can move on and continue to hope another day.",16,9cxlcpbmrH0,it’s more about acknowledging that something could happen but if it doesn’t the individual can move on and continue to hope another day,’ acknowledging something could happen ’ individual move continue hope another day,1,1,0
kiR5zVo2zvU5," Even if you have a total crash and burn ad campaign, you learn a lot from it and your next one's gonna to be better",5,kiR5zVo2zvU, even if you have a total crash and burn ad campaign you learn a lot from it and your next ones gonna to be better,even total crash burn ad campaign learn lot next one gon na better,1,1,0
536094," Some of the people stayed, they killed the people, and that's what happens",4,53609, some of the people stayed they killed the people and thats what happens,people stayed killed people thats happens,0,0,0
bIJOxiIJFk3,It can be a description about who you are as an individual... and why you believe you would be best suited for not only a legal education... but also the opportunity to enroll at the law school of your choice.,3,bIJOxiIJFk,it can be a description about who you are as an individual and why you believe you would be best suited for not only a legal education but also the opportunity to enroll at the law school of your choice,description individual believe would best suited legal education also opportunity enroll law school choice,0,1,1
2669388," (umm) They were actually really good in Twilight Zone, this is this is (stutter) that was a insult to the Twilight Zone this is a terrible movie",8,266938, umm they were actually really good in twilight zone this is this is stutter that was a insult to the twilight zone this is a terrible movie,umm actually really good twilight zone stutter insult twilight zone terrible movie,-1,-1,0
nKiC9sEP2vM22,"------Thank you for joining me for The Tradex Foods ""3-Minute Sustainability Recap"" This is Ryan McKay - “BUY SMART” and “EAT MORE SEAFOOD”",22,nKiC9sEP2vM,thank you for joining me for the tradex foods minute sustainability recap this is ryan mckay  “buy smart” and “eat more seafood”,thank joining tradex food minute sustainability recap ryan mckay “ buy smart ” “ eat seafood ”,1,1,0
2825868," But basically this is a movie for young, teenage girls and there's nothing there",8,282586, but basically this is a movie for young teenage girls and theres nothing there,basically movie young teenage girl there nothing,-1,0,1
13620511," Thought it was quite fast paced and yeah I just, I couldn't enjoy the movie",11,136205, thought it was quite fast paced and yeah i just i couldnt enjoy the movie,thought quite fast paced yeah couldnt enjoy movie,-1,-1,0
VS7xSvno7NA11,Enforcement is fundamental to ASIC and our priorities of ensuring investors are confident and informed and market integrity maintained.,11,VS7xSvno7NA,enforcement is fundamental to asic and our priorities of ensuring investors are confident and informed and market integrity maintained,enforcement fundamental asic priority ensuring investor confident informed market integrity maintained,1,0,1
PyQrAYl1bFs3,"All and all we raise a $145,000 for the hospitals.",3,PyQrAYl1bFs,all and all we raise a  for the hospitals,raise hospital,1,1,0
18996612, And they didn't need to show this,12,189966, and they didnt need to show this,didnt need show,0,-1,1
E8L1Z71vKG89,"It's much easier to break it down into two or three changes, than to look at it in a global perspective and you're watching the tape or you're listening to the tape and you're thinking, ""ok, that's just horrible."" What's horrible about it?",9,E8L1Z71vKG8,its much easier to break it down into two or three changes than to look at it in a global perspective and youre watching the tape or youre listening to the tape and youre thinking ok thats just horrible whats horrible about it,much easier break two three change look global perspective youre watching tape youre listening tape youre thinking ok thats horrible whats horrible,0,-1,1
ueCWy7aTmyo11, The problem is that it falls short when you're trying to address what's happening on the other sites that you're connected with,11,ueCWy7aTmyo, the problem is that it falls short when youre trying to address whats happening on the other sites that youre connected with,problem fall short youre trying address whats happening site youre connected,-1,0,1
fVCDn6SdtVM3,Medivation jumped nearly 20% after Pfizer said it would buy the company and shares of Valeant Pharmaceuticals were also up nearly 8% after the company appointed a new CFO.,3,fVCDn6SdtVM,medivation jumped nearly  after pfizer said it would buy the company and shares of valeant pharmaceuticals were also up nearly  after the company appointed a new cfo,medivation jumped nearly pfizer said would buy company share valeant pharmaceutical also nearly company appointed new cfo,1,1,0
2009414, There (stutter) wasn't that many funny parts in the movie and the only funny parts that there actually were I had already seen cause they were in the commercials,4,200941, there stutter wasnt that many funny parts in the movie and the only funny parts that there actually were i had already seen cause they were in the commercials,stutter wasnt many funny part movie funny part actually already seen cause commercial,-1,-1,0
lp9vkkimXqg18, I really enjoy these products,18,lp9vkkimXqg, i really enjoy these products,really enjoy product,1,1,0
26693842, Don't even waste renting it on DVD,42,266938, dont even waste renting it on dvd,dont even waste renting dvd,-1,-1,0
2LpVvLemgvw8,"Find one that’s in your city or that’s easy to travel to, and make sure you watch this short video before you go",8,2LpVvLemgvw,find one that’s in your city or that’s easy to travel to and make sure you watch this short video before you go,find one ’ city ’ easy travel make sure watch short video go,1,1,0
IOpWjKAHG8Q4,"Think about your grocery stores, your fuel fueling stations, your hospitals, things like that really your whole community relies on",4,IOpWjKAHG8Q,think about your grocery stores your fuel fueling stations your hospitals things like that really your whole community relies on,think grocery store fuel fueling station hospital thing like really whole community relies,0,0,0
2473822, (uhh) This movie came out a couple of years ago and I have to say that it wasn't at all what I expected and I was a little bit (uhh) disappointed with this movie,2,247382, uhh this movie came out a couple of years ago and i have to say that it wasnt at all what i expected and i was a little bit uhh disappointed with this movie,uhh movie came couple year ago say wasnt expected little bit uhh disappointed movie,0,-1,1
2688365, Night Shamylan I think,5,268836, night shamylan i think,night shamylan think,0,-1,1
IHp8hd1jm6k29," We actually pull some of those out and say we're having you listen to this -- not actually what he's talking about earnings -- but how he tells the story about earnings and they're in awe, ""Wow, that is -- that is so compelling"" and what they see is a great communicator and a great storyteller stands above all the rest, but we also show them video",29,IHp8hd1jm6k, we actually pull some of those out and say were having you listen to this  not actually what hes talking about earnings  but how he tells the story about earnings and theyre in awe wow that is  that is so compelling and what they see is a great communicator and a great storyteller stands above all the rest but we also show them video,actually pull say listen actually he talking earnings tell story earnings theyre awe wow compelling see great communicator great storyteller stand rest also show video,1,1,0
RImmdklTOW010, Hopefully what I share or the opinions I share works for you in a way it's presented but if not there's ton of information out there and I hope you find the solution that works best for you,10,RImmdklTOW0, hopefully what i share or the opinions i share works for you in a way its presented but if not theres ton of information out there and i hope you find the solution that works best for you,hopefully share opinion share work way presented there ton information hope find solution work best,1,1,0
36750610," They did a really, really great special effects",10,367506, they did a really really great special effects,really really great special effect,1,-1,2
2439815," It wasn't that great, it was really bad",5,243981, it wasnt that great it was really bad,wasnt great really bad,-1,-1,0
ZXQkyX6prBQ5,We cultivate a habit of winning and the aggressive pursuit of success,5,ZXQkyX6prBQ,we cultivate a habit of winning and the aggressive pursuit of success,cultivate habit winning aggressive pursuit success,1,1,0
XLjpZUsFEXo5,"Now some computers nowadays even have them built in, of course this is an older webcam that still works great for what I'm doing but the newer webcams have better quality and they have microphones built right in.",5,XLjpZUsFEXo,now some computers nowadays even have them built in of course this is an older webcam that still works great for what im doing but the newer webcams have better quality and they have microphones built right in,computer nowadays even built course older webcam still work great im newer webcam better quality microphone built right,0,1,1
2221165, Should be rated more if there's rating more than that,5,222116, should be rated more if theres rating more than that,rated there rating,0,0,0
2239268, Fred Claus,8,223926, fred claus,fred claus,0,-1,1
GTGtVdAuyRc8,"To start with, you need to make sure that you're going out and actually meeting as many people as possible",8,GTGtVdAuyRc,to start with you need to make sure that youre going out and actually meeting as many people as possible,start need make sure youre going actually meeting many people possible,1,1,0
T-8TvJcS78w9,"We look forward to welcoming people from all corners of the globe, united in our shared belief that with drive, passion, and ingenuity, we can truly change the world.",9,T-8TvJcS78w,we look forward to welcoming people from all corners of the globe united in our shared belief that with drive passion and ingenuity we can truly change the world,look forward welcoming people corner globe united shared belief drive passion ingenuity truly change world,1,1,0
lD4xtQ6NpDY11, Once you're in a workplace others are going to tell your story and make sure that story of something that you want to hear,11,lD4xtQ6NpDY, once youre in a workplace others are going to tell your story and make sure that story of something that you want to hear,youre workplace others going tell story make sure story something want hear,1,1,0
19462512, The acting is for the most part pretty good,12,194625, the acting is for the most part pretty good,acting part pretty good,1,-1,2
2713667," (umm) The casting, Rachel Weisz, is not a return a big problem there",7,271366, umm the casting rachel weisz is not a return a big problem there,umm casting rachel weisz return big problem,-1,-1,0
lo0R1mvjDT83,"So, what NRI does is we’re going to be the intermediate between the start-ups, who know about technology, and also financial institutions",3,lo0R1mvjDT8,so what nri does is we’re going to be the intermediate between the startups who know about technology and also financial institutions,nri ’ going intermediate startup know technology also financial institution,1,1,0
F2M7WbPXRps12,"I'm Cheri Ashwood, I'm a Guidance Counselor and your future starts today.",12,F2M7WbPXRps,im cheri ashwood im a guidance counselor and your future starts today,im cheri ashwood im guidance counselor future start today,0,1,1
FzxmeVRTjwU2,Another red flag is those children who avoid activities beyond the classroom,2,FzxmeVRTjwU,another red flag is those children who avoid activities beyond the classroom,another red flag child avoid activity beyond classroom,-1,0,1
SqofxdeEcjg2,"The leadership that is in place, and about to be in place, with Deb Chew now taking on the role of creating this new version of the office and with Hanna Valantine, distinguished cardiologist coming from Stanford to be our new Chief Officer for Scientific Workforce Diversity, puts us in a place to emphasize this area of diversity and inclusion in new and creative ways.",2,SqofxdeEcjg,the leadership that is in place and about to be in place with deb chew now taking on the role of creating this new version of the office and with hanna valantine distinguished cardiologist coming from stanford to be our new chief officer for scientific workforce diversity puts us in a place to emphasize this area of diversity and inclusion in new and creative ways,leadership place place deb chew taking role creating new version office hanna valantine distinguished cardiologist coming stanford new chief officer scientific workforce diversity put u place emphasize area diversity inclusion new creative way,1,1,0
K5cGfs3i-tk6,This is a tremendous initiative for growing the game of golf and in growing the game of golf with inclusion for all.,6,K5cGfs3i-tk,this is a tremendous initiative for growing the game of golf and in growing the game of golf with inclusion for all,tremendous initiative growing game golf growing game golf inclusion,1,0,1
QpchvHpGFc85,"I'm here today to talk a little bit about writing a sales plan, and it was an interesting experience for me, attacking a sales plan.",5,QpchvHpGFc8,im here today to talk a little bit about writing a sales plan and it was an interesting experience for me attacking a sales plan,im today talk little bit writing sale plan interesting experience attacking sale plan,1,1,0
2234316, (uhh) So a Predator has to come and save and hunt these aliens,6,223431, uhh so a predator has to come and save and hunt these aliens,uhh predator come save hunt alien,0,0,0
6ZA8I83x-oY3,"But we also believe if you look at some of the major investments happening... there's not a lot of new franchises being born anymore."" [Cambrie] Aside from fan investors, will individual content creators be able to get involved with Legion M?",3,6ZA8I83x-oY,but we also believe if you look at some of the major investments happening theres not a lot of new franchises being born anymore cambrie aside from fan investors will individual content creators be able to get involved with legion m,also believe look major investment happening there lot new franchise born anymore cambrie aside fan investor individual content creator able get involved legion,1,0,1
1258952, (umm) Julie Andrews stars as the queen and who comes and tells Mia the secret that was kept from her her (stutter) whole life,2,125895, umm julie andrews stars as the queen and who comes and tells mia the secret that was kept from her her stutter whole life,umm julie andrew star queen come tell mia secret kept stutter whole life,0,0,0
9-K1CXCXui45," There are a lot of different options out there for advertising, and the Better Business Bureau is probably a good option as any, I'm a big fan of the BBB, and they also have a local directory section there",5,9-K1CXCXui4, there are a lot of different options out there for advertising and the better business bureau is probably a good option as any im a big fan of the bbb and they also have a local directory section there,lot different option advertising better business bureau probably good option im big fan bbb also local directory section,0,1,1
2cwNG0YuwtQ19,"Therefore, you should show sufficient funds available for your trip, no matter who's covering the cost.",19,2cwNG0YuwtQ,therefore you should show sufficient funds available for your trip no matter whos covering the cost,therefore show sufficient fund available trip matter who covering cost,0,0,0
29877412," It's very, very good and I am so impressed with how it turned out",12,298774, its very very good and i am so impressed with how it turned out,good impressed turned,1,-1,2
1304264," (umm) There's just Neo in there, trying to save the world again and stuff and just way too heavy on the Jesus references, I hated that",4,130426, umm theres just neo in there trying to save the world again and stuff and just way too heavy on the jesus references i hated that,umm there neo trying save world stuff way heavy jesus reference hated,-1,-1,0
9233122," House of the Dead, I give you one star",22,92331, house of the dead i give you one star,house dead give one star,-1,-1,0
DGeBPk1op3E6,"At the Normal Christian Life conferences we're not only going to have powerful teaching, but we want to equip and activate you for a supernatural lifestyle",6,DGeBPk1op3E,at the normal christian life conferences were not only going to have powerful teaching but we want to equip and activate you for a supernatural lifestyle,normal christian life conference going powerful teaching want equip activate supernatural lifestyle,1,1,0
26595916, Please don't see it,16,265959, please dont see it,please dont see,-1,-1,0
IHp8hd1jm6k21," There are just steps and whether it's a personal story, corporate story, group story, that formula it can really work and after we run them through that a few times then they start to get it",21,IHp8hd1jm6k, there are just steps and whether its a personal story corporate story group story that formula it can really work and after we run them through that a few times then they start to get it,step whether personal story corporate story group story formula really work run time start get,1,0,1
yxZydS2qHzs3,"Well, for you to save face, and not be, or to certainly help your absolute mortification that nobody laughed at your joke, come up with something funny.",3,yxZydS2qHzs,well for you to save face and not be or to certainly help your absolute mortification that nobody laughed at your joke come up with something funny,well save face certainly help absolute mortification nobody laughed joke come something funny,0,1,1
juI9KoLA87A18,"Add that with 12 neurosurgeons who I genuinely like, and the answer was obvious.",18,juI9KoLA87A,add that with  neurosurgeons who i genuinely like and the answer was obvious,add neurosurgeon genuinely like answer obvious,1,1,0
27353112, (umm) And it's just kind of your classic (umm) bad horror film,12,273531, umm and its just kind of your classic umm bad horror film,umm kind classic umm bad horror film,-1,-1,0
kZfcQ4a0kx47,"I worked domestically at the office that deals with failed states, which really highlights my interest in economic recovery.",7,kZfcQ4a0kx4,i worked domestically at the office that deals with failed states which really highlights my interest in economic recovery,worked domestically office deal failed state really highlight interest economic recovery,1,1,0
1017877, It was actually some good scenery in this,7,101787, it was actually some good scenery in this,actually good scenery,1,-1,2
